LOC	 PID 	 TYPE 	 AREA 	 PERIM 	 GYRATE 	 SHAPE 	 FRAC 	 CORE 	 NCORE 	 CAI
naju_toyang	849	 cls_1 	76.79	20560	498.0148	5.8409	1.2611	62.43	6	81.2996
naju_toyang	850	 cls_1 	291.21	43540	1408.9139	6.3655	1.249	260.98	1	89.6192
naju_toyang	851	 cls_1 	4.51	2360	208.4441	2.7442	1.1907	2.86	1	63.4146
naju_toyang	853	 cls_1 	2.83	920	71.0968	1.3529	1.061	2.11	1	74.5583
naju_toyang	854	 cls_1 	6.6	2740	160.5016	2.6346	1.1767	4.81	1	72.8788
naju_toyang	855	 cls_1 	3.76	1720	95.6493	2.2051	1.1512	2.56	1	68.0851
naju_toyang	856	 cls_1 	5.19	2020	114.821	2.1957	1.1466	3.79	1	73.025
naju_toyang	857	 cls_1 	8.81	3540	195.6866	2.95	1.1919	6.56	2	74.4608
naju_toyang	858	 cls_1 	14.49	4440	215.3619	2.8831	1.1801	11.17	2	77.0876
naju_toyang	859	 cls_1 	8.1	2160	165.2738	1.8947	1.1133	6.57	1	81.1111
naju_toyang	860	 cls_1 	0.68	480	34.1938	1.4118	1.085	0.36	1	52.9412
naju_toyang	861	 cls_1 	4.22	1080	89.0521	1.2857	1.0513	3.44	1	81.5166
naju_toyang	862	 cls_1 	2.43	1300	99.4712	2.0312	1.1455	1.57	1	64.6091
naju_toyang	863	 cls_1 	1.22	800	52.7611	1.7391	1.1262	0.7	1	57.377
naju_toyang	864	 cls_1 	1.11	920	79.7913	2.0909	1.1676	0.49	1	44.1441
naju_toyang	865	 cls_1 	0.36	340	25.8663	1.4167	1.0851	0.16	1	44.4444
naju_toyang	866	 cls_1 	0.67	500	40.6096	1.4706	1.0961	0.38	1	56.7164
naju_toyang	867	 cls_1 	1.81	820	68.2965	1.5185	1.0859	1.23	1	67.9558
naju_toyang	868	 cls_1 	197.33	30960	1077.5193	5.5089	1.2355	175.33	1	88.8512
naju_toyang	869	 cls_1 	2.04	920	68.3911	1.5862	1.096	1.45	1	71.0784
naju_toyang	870	 cls_1 	0.53	340	28.188	1.1333	1.0361	0.29	1	54.717
naju_toyang	871	 cls_1 	19.77	5160	246.3173	2.8989	1.1747	16.29	1	82.3976
naju_toyang	872	 cls_1 	4.08	1400	113.8448	1.7073	1.1036	3.16	1	77.451
naju_toyang	873	 cls_1 	45.5	8820	332.9475	3.2667	1.1818	39.14	1	86.022
naju_toyang	874	 cls_1 	5.29	2500	161.2665	2.7174	1.1838	3.52	2	66.5406
naju_toyang	875	 cls_1 	11.28	3520	227.4795	2.5882	1.1656	8.77	1	77.7482
naju_toyang	876	 cls_1 	0.22	360	27.2545	1.8	1.1694	0.03	1	13.6364
naju_toyang	877	 cls_1 	1.94	1060	83.6721	1.8929	1.1303	1.24	2	63.9175
naju_toyang	878	 cls_1 	6.7	3420	140.9626	3.2885	1.2151	4.33	3	64.6269
naju_toyang	879	 cls_1 	17.3	3780	275.2954	2.25	1.1361	14.7	1	84.9711
naju_toyang	880	 cls_1 	40.11	8160	306.0114	3.2126	1.1813	34.41	4	85.7891
naju_toyang	881	 cls_1 	9.79	2800	151.143	2.2222	1.1401	7.87	1	80.3882
naju_toyang	882	 cls_1 	1.59	740	58.4613	1.4231	1.0792	1.06	1	66.6667
naju_toyang	883	 cls_1 	1.54	960	57.0287	1.92	1.1368	0.91	2	59.0909
naju_toyang	884	 cls_1 	1.53	960	66.8525	1.92	1.1376	0.88	2	57.5163
naju_toyang	887	 cls_1 	21.62	4840	273.3504	2.6022	1.1557	18.13	1	83.8575
naju_toyang	888	 cls_1 	5.79	1740	108.1293	1.7755	1.108	4.62	1	79.7927
naju_toyang	889	 cls_1 	0.54	420	33.5318	1.4	1.0831	0.26	1	48.1481
naju_toyang	890	 cls_1 	1.79	1140	73.8315	2.1111	1.1544	1	1	55.8659
naju_toyang	891	 cls_1 	14.59	3140	168.684	2.039	1.1212	12.36	1	84.7156
naju_toyang	893	 cls_1 	12.16	3080	186.0045	2.2	1.1353	10.03	1	82.4836
naju_toyang	894	 cls_1 	14.86	5000	282.0775	3.2051	1.1976	11.29	1	75.9758
naju_toyang	895	 cls_1 	0.81	540	43.0594	1.5	1.0901	0.46	1	56.7901
naju_toyang	896	 cls_1 	10.8	2300	194.2731	1.7424	1.0965	9	1	83.3333
naju_toyang	898	 cls_1 	0.1	260	25.8848	1.8571	1.2086	0	0	0
naju_toyang	899	 cls_1 	26.65	6580	413.8975	3.1635	1.1855	22.04	1	82.7017
naju_toyang	900	 cls_1 	30.83	7900	316.0668	3.5268	1.2008	25.16	4	81.6088
naju_toyang	901	 cls_1 	2.33	820	59.4312	1.3226	1.0587	1.76	1	75.5365
naju_toyang	904	 cls_1 	0.04	100	8.8379	1.25	1.0745	0	0	0
naju_toyang	905	 cls_1 	0.11	220	16.253	1.5714	1.1445	0.02	1	18.1818
naju_toyang	906	 cls_1 	6.76	2540	171.0853	2.4423	1.1606	4.82	1	71.3018
naju_toyang	907	 cls_1 	0.01	40	5	1	1	0	0	0
naju_toyang	908	 cls_1 	0.01	40	5	1	1	0	0	0
naju_toyang	909	 cls_1 	0.01	40	5	1	1	0	0	0
naju_toyang	910	 cls_1 	3.83	1540	119.6548	1.925	1.1282	2.79	1	72.846
naju_toyang	911	 cls_1 	2.61	1040	79.5821	1.5758	1.0936	1.94	1	74.3295
naju_toyang	912	 cls_1 	39.02	9840	502.9837	3.936	1.2129	32.32	3	82.8293
naju_toyang	913	 cls_1 	0.01	40	5	1	1	0	0	0
naju_toyang	917	 cls_1 	0.03	100	8.4359	1.25	1.1287	0	0	0
naju_toyang	919	 cls_1 	0.49	400	28.3321	1.4286	1.084	0.24	1	48.9796
naju_toyang	920	 cls_1 	2.29	820	62.0416	1.3226	1.0605	1.75	1	76.4192
naju_toyang	921	 cls_1 	5.79	1920	133.6586	1.9592	1.1259	4.43	2	76.5112
naju_toyang	922	 cls_1 	2.33	880	68.5705	1.4194	1.0727	1.72	1	73.8197
naju_toyang	923	 cls_1 	43.54	9280	508.3347	3.5152	1.1937	37.14	1	85.3009
naju_toyang	924	 cls_1 	0.01	40	5	1	1	0	0	0
naju_toyang	925	 cls_1 	0.09	140	12.8462	1.1667	1.0453	0	0	0
