,area_density,shape,core,aggregation
AI,,,,0.04771635980205169
AREA_AM,0.1471440022322024,,,
AREA_CV,0.02901782574833104,,,
AREA_MD,0.1475123376783528,,,
AREA_MN,0.3812412707671493,,,
CA,0.06984155211580495,,,
CAI_MN,,,0.15927605543622422,
CLUMPY,,,,0.12815551841880404
COHESION,,,,0.037647396297196385
CORE_MN,,,0.5735049589652577,
CPLAND,,,0.08327199845622177,
DCAD,,,0.03806623989354112,
ED,,0.1427934484985999,,
FRAC_AM,,0.12399073636282623,,
FRAC_MN,,0.12566661895002693,,
GYRATE_AM,,,,0.153990218461089
GYRATE_CV,,,,0.06423604954664762
GYRATE_MD,,,,0.25184377201225994
GYRATE_MN,,,,0.26871437581229735
LPI,0.11420301151426149,,,
NDCA,,,0.046297399044018,
NP,0.028536163981755413,,,
PARA_MN,,0.2653278342873504,,
PD,0.02573491621388589,,,
PLADJ,,,,0.047696309649653955
PLAND,0.05676891974825665,,,
SHAPE_AM,,0.08348580620552777,,
SHAPE_MN,,0.10224716684265533,,
TCA,,,0.09958334820473738,
TE,,0.15648838885301344,,
