region,layer,discriminability_total,area_density_diff,shape_diff,core_diff,aggregation_diff
hwasun,infra,0.7221692646099065,0.371551642109904,0.12144165104514038,0.1337452990392438,0.09543067241561831
hwasun,pibok,0.9862150219219902,0.37095882284605086,0.15239864069224285,0.1980187877713335,0.26483877061236294
hwasun,nongeup,1.7534912713615287,0.6982256614021324,0.04347959895971221,0.7253719679095958,0.28641404309008844
hwasun,toyang3,0.7606080727543645,0.3634759395033099,0.05962061415464637,0.25312245862863253,0.08438906046777572
naju,infra,0.5974936358187002,0.24344386336673166,0.17621001795134572,0.06908297123319476,0.10875678326742805
naju,pibok,0.6036344530489671,0.15537697757628033,0.19844341661042697,0.07888821374972668,0.17092584511253314
naju,nongeup,0.25028328458413485,0.1376508380919119,0.022611624083298976,0.058183205546039174,0.03183761686288478
naju,toyang3,0.11449419208288658,0.04348656252403538,0.0035128449474882695,0.014257820038092839,0.053236964573270096
