unit,area_density,shape,core,aggregation,region,layer,class_type
hwasun_infra_cls_1,0.46094936709342227,0.7155206841600658,0.27210784444726754,0.3692875513474561,hwasun,infra,cls
hwasun_pibok_cls_1,0.05492833391041831,0.6065570268828231,0.0464387620531861,0.08977941023079851,hwasun,pibok,cls
hwasun_pibok_cls_9,0.4032067322809256,0.4491307919191891,0.22982674224308616,0.28503831889487874,hwasun,pibok,cls
hwasun_nongeup_cls_1,0.24198043399049,0.8397472317899752,0.26344519909664493,0.67535494836253,hwasun,nongeup,cls
hwasun_nongeup_cls_9,0.9155506834461651,0.7932140156507306,0.95523411097405,0.9020327499287908,hwasun,nongeup,cls
hwasun_toyang3_cls_1,0.2557595160613752,0.5911154201576977,0.2661934369425223,0.6895722755291331,hwasun,toyang3,cls
hwasun_toyang3_cls_9,0.6009260199464852,0.6467915111240292,0.5094183001353524,0.7163376091618635,hwasun,toyang3,cls
naju_infra_cls_1,0.3212088060355101,0.5027507783708389,0.2010359169485147,0.3539831767944952,naju,infra,cls
naju_pibok_cls_1,0.08755215196580986,0.42532852673094945,0.05711823827332731,0.1596183977622352,naju,pibok,cls
naju_pibok_cls_9,0.2139609195768073,0.22289645434128025,0.1323935696622268,0.27861502603350025,naju,pibok,cls
naju_nongeup_cls_1,0.22488864608777992,0.7557520770086134,0.2852969820768406,0.62596872232504,naju,nongeup,cls
naju_nongeup_cls_9,0.3458738720705208,0.7312644564668022,0.334608235128676,0.6137063740112207,naju,nongeup,cls
naju_toyang3_cls_1,0.22755291024799362,0.693617229765921,0.2969697326226831,0.5605922538685473,naju,toyang3,cls
naju_toyang3_cls_9,0.2701623163136924,0.6964615449642741,0.31345735326497465,0.6034156252410581,naju,toyang3,cls
